LOC_PID,NAME,LOC_CODE,LOC_DESC,STATE_PID,ST_ABBREV,COUNT_BY_GOV_FM,COUNT_BY_GOV_OD,COUNT_BY_INTERNAL_MODEL,COUNT_BY_3RD_PARTY,COUNT_LOW_AAD,COUNT_MEDIUM_AAD,COUNT_HIGH_AAD,COUNT_LOW_FREQUENCY,COUNT_MEDIUM_FREQUENCY,COUNT_HIGH_FREQUENCY,TOTAL_AAD,RANK_AAD
WA2505,SOUTH YUNDERUP,G,GAZETTED LOCALITY,5,WA,0,1725,0,0,1300,245,180,1247,368,110,670000,396
WA2702,WESTONIA,G,GAZETTED LOCALITY,5,WA,0,0,400,0,400,0,0,400,0,0,0,4537
WA2736,EAST BOWES,G,GAZETTED LOCALITY,5,WA,0,0,0,0,0,0,0,0,0,0,0,4537
WA2355,HILL RIVER,G,GAZETTED LOCALITY,5,WA,0,0,0,0,0,0,0,0,0,0,0,4537
WA2362,MOUNT BUDD,G,GAZETTED LOCALITY,5,WA,0,0,0,0,0,0,0,0,0,0,0,4537
WA2331,TALGOMINE,G,GAZETTED LOCALITY,5,WA,0,0,0,0,0,0,0,0,0,0,0,4537
WA2875,ALKIMOS,G,GAZETTED LOCALITY,5,WA,0,0,1080,0,1080,0,0,1080,0,0,0,4537
WA2905,NARROGIN,G,GAZETTED LOCALITY,5,WA,0,0,668,1974,659,9,0,659,9,0,251000,783
TAS620,SOUTHPORT LAGOON,G,GAZETTED LOCALITY,6,TAS,0,0,0,0,0,0,0,0,0,0,0,4537
TAS679,TOMAHAWK,G,GAZETTED LOCALITY,6,TAS,0,0,94,0,35,50,9,35,50,9,38000,1967
TAS68,BRANXHOLM,G,GAZETTED LOCALITY,6,TAS,0,0,185,0,137,28,20,137,28,20,52000,1747
TAS685,TREVALLYN,G,GAZETTED LOCALITY,6,TAS,0,0,1625,847,1625,0,0,1625,0,0,79000,1455
TAS690,TULENDEENA,G,GAZETTED LOCALITY,6,TAS,0,0,0,0,0,0,0,0,0,0,0,4537
WA2993,DAMPIER,G,GAZETTED LOCALITY,5,WA,0,0,0,588,0,0,0,0,0,0,0,4537
WA3019,YAKAMIA,G,GAZETTED LOCALITY,5,WA,0,0,1833,0,1833,0,0,1833,0,0,0,4537
WA3020,SPENCER PARK,G,GAZETTED LOCALITY,5,WA,0,0,2217,0,2217,0,0,2217,0,0,0,4537
WA3022,WALMSLEY,G,GAZETTED LOCALITY,5,WA,0,0,0,0,0,0,0,0,0,0,0,4537
WA3048,MILLBRIDGE,G,GAZETTED LOCALITY,5,WA,769,0,14,183,758,24,1,758,24,1,22000,2374
WA2777,LANGE,G,GAZETTED LOCALITY,5,WA,0,0,69,0,69,0,0,69,0,0,0,4537
WA3217,GNOWANGERUP,G,GAZETTED LOCALITY,5,WA,0,0,431,0,417,5,9,417,1,13,33000,2072
WA3238,AVELEY,G,GAZETTED LOCALITY,5,WA,0,0,0,1710,0,0,0,0,0,0,0,4537
WA3239,THE VINES,G,GAZETTED LOCALITY,5,WA,0,0,0,2036,0,0,0,0,0,0,0,4537
VIC1601,MARLBED,G,GAZETTED LOCALITY,2,VIC,0,0,0,0,0,0,0,0,0,0,0,4537
VIC1606,MARONG,G,GAZETTED LOCALITY,2,VIC,1,0,424,0,302,120,3,421,4,0,29000,2161
WA3336,BEDFORD,G,GAZETTED LOCALITY,5,WA,0,0,2935,0,2935,0,0,2935,0,0,1000,3971
VIC1432,LAKE MARMAL,G,GAZETTED LOCALITY,2,VIC,0,0,0,0,0,0,0,0,0,0,0,4537
VIC144,BARNADOWN,G,GAZETTED LOCALITY,2,VIC,0,0,0,0,0,0,0,0,0,0,0,4537
VIC1463,LARA,G,GAZETTED LOCALITY,2,VIC,0,0,6769,0,6626,117,26,6668,49,52,121000,1186
VIC1472,LAVERTON NORTH,G,GAZETTED LOCALITY,2,VIC,0,0,0,0,0,0,0,0,0,0,0,4537
