GNAF_PID,LONGITUDE,LATITUDE,FULL_ADDRESS,LOCALITY,POSTCODE,STATE,RELIABILITY,IAG_COORDINATE,SOURCE_TYPE,AVERAGE_ANNUAL_DAMAGE,FLOOD_FREQUENCY
GANSW706144768,153.53126894,-28.18303458,42 THE QUARTERDECK,TWEED HEADS,2485,NSW,2,0,GOVERNMENT FLOOD MAPPING,M,L
GANSW706164724,153.53094480,-28.18620024,69 KENNEDY DRIVE,TWEED HEADS,2485,NSW,2,0,GOVERNMENT FLOOD MAPPING,M,M
GANSW706168225,153.52826991,-28.18456231,74 COMPANION WAY,TWEED HEADS,2485,NSW,2,0,GOVERNMENT FLOOD MAPPING,M,L
GANSW718412963,153.52920640,-28.18647910,91 KENNEDY DRIVE,TWEED HEADS,2485,NSW,2,0,GOVERNMENT FLOOD MAPPING,M,H
GANSW712336531,153.52590165,-28.18525188,"UNIT 2, 101 DUCAT STREET",TWEED HEADS,2485,NSW,2,0,GOVERNMENT FLOOD MAPPING,H,H
GANSW706141599,153.53154212,-28.18507799,"UNIT 2, 17 MARGARET STREET",TWEED HEADS,2485,NSW,2,0,GOVERNMENT FLOOD MAPPING,L,L
GANSW706168241,153.52944090,-28.18537088,"UNIT 2, 95 COMPANION WAY",TWEED HEADS,2485,NSW,2,0,GOVERNMENT FLOOD MAPPING,M,L
GANSW706179281,153.53128051,-28.17970848,8 THE ANCHORAGE,TWEED HEADS,2485,NSW,2,0,GOVERNMENT FLOOD MAPPING,M,L
GANSW715473444,153.53272887,-28.18519491,6 MARGARET STREET,TWEED HEADS,2485,NSW,3,0,GOVERNMENT FLOOD MAPPING,L,L
GANSW706164720,153.53200687,-28.18592885,61 KENNEDY DRIVE,TWEED HEADS,2485,NSW,4,1,GOVERNMENT FLOOD MAPPING,M,L
GANSW706182098,153.52640802,-28.18456168,84 DUCAT STREET,TWEED HEADS,2485,NSW,2,0,GOVERNMENT FLOOD MAPPING,M,M
GANSW706164835,153.52983088,-28.18499242,99 COMPANION WAY,TWEED HEADS,2485,NSW,2,0,GOVERNMENT FLOOD MAPPING,M,L
GANSW706179262,153.53089904,-28.17912578,13 THE ANCHORAGE,TWEED HEADS,2485,NSW,2,0,GOVERNMENT FLOOD MAPPING,M,L
GANSW717777187,153.53172024,-28.18570111,"UNIT 1, 16-18 MARGARET STREET",TWEED HEADS,2485,NSW,2,0,GOVERNMENT FLOOD MAPPING,M,L
GANSW706145543,153.52984466,-28.18212789,16 THE MAINBRACE,TWEED HEADS,2485,NSW,2,0,GOVERNMENT FLOOD MAPPING,M,L
GANSW706185498,153.52954109,-28.18286337,12 NORMAN STREET,TWEED HEADS,2485,NSW,2,0,GOVERNMENT FLOOD MAPPING,M,L
GANSW706185513,153.53009424,-28.18341145,4 NORMAN STREET,TWEED HEADS,2485,NSW,2,0,GOVERNMENT FLOOD MAPPING,M,L
GANSW706158003,153.52739479,-28.18461122,16 MERIDIAN WAY,TWEED HEADS,2485,NSW,2,0,GOVERNMENT FLOOD MAPPING,M,L
GANSW706135260,153.53150284,-28.18099255,2 THE BOWSPRIT,TWEED HEADS,2485,NSW,2,0,GOVERNMENT FLOOD MAPPING,M,M
GANSW706165442,153.53116407,-28.18520621,"UNIT 6, 21 MARGARET STREET",TWEED HEADS,2485,NSW,2,0,GOVERNMENT FLOOD MAPPING,L,L
GANSW706179260,153.53108215,-28.17915248,11 THE ANCHORAGE,TWEED HEADS,2485,NSW,2,0,GOVERNMENT FLOOD MAPPING,M,L
GANSW706162052,153.52789449,-28.18069284,3 COMPASS WAY,TWEED HEADS,2485,NSW,2,0,GOVERNMENT FLOOD MAPPING,M,L
GANSW706185509,153.52886869,-28.18337614,23 NORMAN STREET,TWEED HEADS,2485,NSW,2,0,GOVERNMENT FLOOD MAPPING,M,L
GANSW706145240,153.53128528,-28.17826817,"UNIT 1, 20 MUGGA WAY",TWEED HEADS,2485,NSW,2,0,GOVERNMENT FLOOD MAPPING,M,L
GANSW706185510,153.52866438,-28.18329176,25 NORMAN STREET,TWEED HEADS,2485,NSW,2,0,GOVERNMENT FLOOD MAPPING,M,L
GANSW706144746,153.53223015,-28.17924965,16 THE QUARTERDECK,TWEED HEADS,2485,NSW,2,0,GOVERNMENT FLOOD MAPPING,M,L
GANSW706145224,153.52968993,-28.17795104,"UNIT 3, 4 MUGGA WAY",TWEED HEADS,2485,NSW,2,0,GOVERNMENT FLOOD MAPPING,M,L
GANSW707666749,153.53128528,-28.17826817,20 MUGGA WAY,TWEED HEADS,2485,NSW,2,0,GOVERNMENT FLOOD MAPPING,M,L
GANSW712314798,153.52950361,-28.18479553,"UNIT 2, 89 COMPANION WAY",TWEED HEADS,2485,NSW,2,0,GOVERNMENT FLOOD MAPPING,M,L
GANSW706168237,153.52927989,-28.18582385,92 COMPANION WAY,TWEED HEADS,2485,NSW,2,0,GOVERNMENT FLOOD MAPPING,M,L
GANSW706141627,153.53026909,-28.17811099,"UNIT 4, 10 MUGGA WAY",TWEED HEADS,2485,NSW,2,0,GOVERNMENT FLOOD MAPPING,M,L
GANSW706185515,153.53042323,-28.18475990,7 NORMAN STREET,TWEED HEADS,2485,NSW,2,0,GOVERNMENT FLOOD MAPPING,L,L
GANSW706134984,153.53087851,-28.17820265,"UNIT 3, 16 MUGGA WAY",TWEED HEADS,2485,NSW,2,1,GOVERNMENT FLOOD MAPPING,M,L
GANSW706158004,153.52742895,-28.18478423,17 MERIDIAN WAY,TWEED HEADS,2485,NSW,2,0,GOVERNMENT FLOOD MAPPING,M,L
GANSW706155042,153.53077544,-28.18335883,48 THE QUARTERDECK,TWEED HEADS,2485,NSW,2,0,GOVERNMENT FLOOD MAPPING,M,L
GANSW706141588,153.53233530,-28.18535354,10 MARGARET STREET,TWEED HEADS,2485,NSW,2,0,GOVERNMENT FLOOD MAPPING,L,L
GANSW706162046,153.52741398,-28.18225424,20 COMPASS WAY,TWEED HEADS,2485,NSW,2,0,GOVERNMENT FLOOD MAPPING,M,L
GANSW706185504,153.52883093,-28.18270556,18 NORMAN STREET,TWEED HEADS,2485,NSW,2,0,GOVERNMENT FLOOD MAPPING,M,L
GANSW706135253,153.53051287,-28.18038261,13 THE BOWSPRIT,TWEED HEADS,2485,NSW,2,0,GOVERNMENT FLOOD MAPPING,M,L
GANSW706165447,153.53101546,-28.18585205,22 MARGARET STREET,TWEED HEADS,2485,NSW,2,0,GOVERNMENT FLOOD MAPPING,M,M
GANSW707607357,153.52913755,-28.17793758,6 DUCAT STREET,TWEED HEADS,2485,NSW,2,0,GOVERNMENT FLOOD MAPPING,M,M
GANSW712275399,153.53172024,-28.18570111,18 MARGARET STREET,TWEED HEADS,2485,NSW,2,0,GOVERNMENT FLOOD MAPPING,M,L
GANSW706155480,153.52986288,-28.17801501,"UNIT 3, 6 MUGGA WAY",TWEED HEADS,2485,NSW,2,0,GOVERNMENT FLOOD MAPPING,M,L
GANSW706141491,153.52747671,-28.18317353,52 PARKES DRIVE,TWEED HEADS,2485,NSW,2,0,GOVERNMENT FLOOD MAPPING,M,L
GANSW706154987,153.53154212,-28.18507799,"UNIT 4, 17 MARGARET STREET",TWEED HEADS,2485,NSW,2,0,GOVERNMENT FLOOD MAPPING,L,L
