CE_PID,NAME,STATE_PID,ST_ABBREV,COUNT_BY_GOV_FM,COUNT_BY_GOV_OD,COUNT_BY_INTERNAL_MODEL,COUNT_BY_3RD_PARTY,COUNT_LOW_AAD,COUNT_MEDIUM_AAD,COUNT_HIGH_AAD,COUNT_LOW_FREQUENCY,COUNT_MEDIUM_FREQUENCY,COUNT_HIGH_FREQUENCY,TOTAL_AAD,RANK_AAD
VIC10,GELLIBRAND,2,VIC,0,0,80063,0,78600,1080,383,78590,754,719,1885000,93
VIC37,GOLDSTEIN,2,VIC,0,0,73375,0,73237,118,20,73201,64,110,165000,129
VIC9,BATMAN,2,VIC,0,0,79176,0,79146,16,14,79155,8,13,72000,137
WA19,COWAN,5,WA,0,1,56019,0,55864,101,55,55858,82,80,256000,127
NSW38,PARKES,1,NSW,22138,6491,29365,12842,38148,7331,12515,44514,11852,1628,35981000,4
NSW9,EDEN-MONARO,1,NSW,27684,0,49689,5087,71355,3279,2739,73252,2939,1182,11950000,28
SA1,BOOTHBY,4,SA,10007,0,56687,4284,66345,230,119,66393,108,193,448000,118
VIC33,JAGAJAGA,2,VIC,0,0,65310,0,65299,3,8,65301,4,5,41000,143
VIC35,BRUCE,2,VIC,0,0,69955,0,69944,10,1,69950,4,1,13000,145
QLD16,MONCRIEFF,3,QLD,0,0,0,108276,0,0,0,0,0,0,0,149
QLD17,MORETON,3,QLD,0,60206,16554,0,54427,12308,10025,69251,7414,95,46326000,3
QLD20,MARANOA,3,QLD,8881,0,29132,39024,31538,4763,1712,31544,5444,1025,7945000,40
QLD25,BRISBANE,3,QLD,0,79445,15928,0,80679,9675,5019,90935,4149,289,15197000,22
VIC17,MELBOURNE,2,VIC,0,0,83832,0,81673,412,1747,81550,265,2017,6332000,54
VIC32,CORIO,2,VIC,0,0,78163,0,77180,719,264,77190,273,700,805000,106
WA30,STIRLING,5,WA,0,0,79712,0,76913,1409,1390,78141,424,1147,11852000,29
WA32,TANGNEY,5,WA,0,50208,12064,0,62245,24,3,62263,7,2,48000,140
NSW15,MITCHELL,1,NSW,24101,0,30935,0,54990,39,7,55016,10,10,121000,132
NSW19,FOWLER,1,NSW,26614,0,30646,0,53580,2417,1263,55326,863,1071,8573000,36
NSW23,DOBELL,1,NSW,39897,1471,28253,0,61598,3584,4439,62077,2876,4668,21331000,14
SA4,WAKEFIELD,4,SA,0,0,10256,60071,9805,243,208,9731,113,412,692000,109
VIC11,MURRAY,2,VIC,7396,39476,12336,0,18494,25066,15648,38378,19742,1088,34109000,6
VIC21,INDI,2,VIC,8956,11234,40266,45,53065,6225,1166,56206,3684,566,4896000,61
VIC6,MARIBYRNONG,2,VIC,0,0,73851,0,72724,467,660,73010,213,628,2984000,80
WA21,DURACK,5,WA,1668,0,35882,55010,35213,1625,712,35349,1441,760,3675000,72
WA23,FREMANTLE,5,WA,0,13792,59749,72,70781,620,2140,71311,404,1826,24083000,12
NSW13,WERRIWA,1,NSW,18529,0,43569,0,59822,1641,635,61122,621,355,2158000,90
NSW32,COWPER,1,NSW,25211,0,39611,0,56263,3823,4736,58905,2989,2928,46733000,2
NSW49,PARRAMATTA,1,NSW,49033,0,38433,34,84801,1713,952,85527,1073,866,3029000,79
QLD12,FLYNN,3,QLD,7560,21438,15837,25339,40184,1539,3112,40548,3174,1113,7606000,43
QLD24,CAPRICORNIA,3,QLD,21216,11989,5668,28131,32013,4997,1863,34135,3266,1472,10339000,33
QLD8,HINKLER,3,QLD,32945,0,41690,1639,69954,2523,2158,69855,3850,930,8142000,39
SA7,HINDMARSH,4,SA,0,0,66272,21057,59480,4926,1866,58817,1497,5958,8551000,37
VIC8,DUNKLEY,2,VIC,0,0,73773,0,70525,1769,1479,70805,1216,1752,4880000,62
NSW1,LINDSAY,1,NSW,21623,0,41577,1626,52962,6578,3660,59675,1907,1618,12354000,27
QLD29,FADDEN,3,QLD,0,0,8330,83928,8062,176,92,8068,222,40,612000,112
VIC36,ISAACS,2,VIC,0,0,70265,0,67625,1996,644,67699,1343,1223,2291000,88
