LGA_PID,LGA_NAME,STATE_PID,ST_ABBREV,COUNT_BY_GOV_FM,COUNT_BY_GOV_OD,COUNT_BY_INTERNAL_MODEL,COUNT_BY_3RD_PARTY,COUNT_LOW_AAD,COUNT_MEDIUM_AAD,COUNT_HIGH_AAD,COUNT_LOW_FREQUENCY,COUNT_MEDIUM_FREQUENCY,COUNT_HIGH_FREQUENCY,TOTAL_AAD,RANK_AAD
TAS68,CIRCULAR HEAD COUNCIL,6,TAS,0,0,3211,0,3141,62,8,3135,50,26,61000,383
VIC103,MOIRA SHIRE,2,VIC,3420,7278,1576,0,8924,3135,215,10575,1539,160,1860000,117
VIC106,NILLUMBIK SHIRE,2,VIC,0,0,20482,0,20477,4,1,20479,2,1,10000,443
VIC111,SWAN HILL RURAL CITY,2,VIC,277,5598,853,1947,3181,3416,131,6312,380,36,1077000,166
VIC133,LATROBE CITY,2,VIC,5880,17025,12321,14,33029,1749,448,34286,715,225,1232000,148
VIC136,WHITEHORSE CITY,2,VIC,0,0,77580,0,77578,2,0,77577,2,1,1000,480
VIC144,MILDURA RURAL CITY,2,VIC,28,17989,0,4559,17515,486,16,17835,172,10,197000,314
VIC150,YARRIAMBIACK SHIRE,2,VIC,718,0,818,2229,904,592,40,1115,421,0,379000,252
WA361,SHIRE OF CRANBROOK,5,WA,0,0,11,567,11,0,0,11,0,0,2000,467
WA404,SHIRE OF CUE,5,WA,0,0,0,323,0,0,0,0,0,0,0,497
WA416,CITY OF FREMANTLE,5,WA,0,6187,10794,0,16961,19,1,16979,1,1,12000,437
WA420,SHIRE OF MANJIMUP,5,WA,0,0,173,3852,165,8,0,165,8,0,124000,348
