LGA_PID,LGA_NAME,STATE_PID,ST_ABBREV,COUNT_BY_GOV_FM,COUNT_BY_GOV_OD,COUNT_BY_INTERNAL_MODEL,COUNT_BY_3RD_PARTY,COUNT_LOW_AAD,COUNT_MEDIUM_AAD,COUNT_HIGH_AAD,COUNT_LOW_FREQUENCY,COUNT_MEDIUM_FREQUENCY,COUNT_HIGH_FREQUENCY,TOTAL_AAD,RANK_AAD
QLD280,GYMPIE REGIONAL,3,QLD,15930,0,4352,3701,18557,786,939,18558,1716,8,2707000,84
SA129,NARACOORTE LUCINDALE COUNCIL,4,SA,0,0,3878,0,3724,79,75,3725,42,111,301000,275
SA132,DC OF ROBE,4,SA,0,0,1827,81,1827,0,0,1827,0,0,1000,480
SA88,WATTLE RANGE COUNCIL,4,SA,0,0,5478,3,5432,34,12,5406,40,32,65000,380
VIC124,MOORABOOL SHIRE,2,VIC,0,0,10650,0,10584,55,11,10559,80,11,139000,342
VIC161,CARDINIA SHIRE,2,VIC,0,0,28124,0,28016,93,15,27973,80,71,81000,369
VIC172,MURRINDINDI SHIRE,2,VIC,406,389,4683,0,4880,435,163,5114,363,1,626000,222
WA294,SHIRE OF DALWALLINU,5,WA,0,0,523,338,523,0,0,523,0,0,0,497
WA351,SHIRE OF MEEKATHARRA,5,WA,0,0,0,680,0,0,0,0,0,0,0,497
WA419,SHIRE OF ESPERANCE,5,WA,0,0,0,7678,0,0,0,0,0,0,294000,279
NSW171,ALBURY CITY COUNCIL,1,NSW,6874,0,300,19933,6138,1034,2,7122,50,2,6100000,48
NSW222,COWRA SHIRE COUNCIL,1,NSW,3814,0,1203,136,4822,73,122,4877,113,27,4563000,55
NSW233,INVERELL SHIRE COUNCIL,1,NSW,3051,0,2646,0,4517,604,576,5342,195,160,1642000,131
NSW248,BLUE MOUNTAINS CITY COUNCIL,1,NSW,4818,0,37138,0,41862,20,74,41869,5,82,359000,259
NSW262,LACHLAN SHIRE COUNCIL,1,NSW,1792,0,0,1450,1746,32,14,1744,29,19,146000,339
QLD21,BRISBANE CITY,3,QLD,19247,369312,184185,2307,481691,57211,33842,546222,25278,1244,123701000,1
QLD270,BLACKALL TAMBO REGIONAL,3,QLD,0,0,0,1481,0,0,0,0,0,0,179000,321
QLD74,IPSWICH CITY,3,QLD,0,10947,68242,1,66015,6671,6503,73947,4137,1105,23744000,10
SA112,CLARE AND GILBERT VALLEYS COUNCIL,4,SA,0,0,2456,2171,2255,47,154,2246,15,195,638000,219
SA73,ADELAIDE CITY COUNCIL,4,SA,0,0,10403,3672,10403,0,0,10403,0,0,1000,480
WA344,CITY OF ALBANY,5,WA,0,0,18891,71,18790,31,70,18790,24,77,307000,273
WA360,CITY OF BELMONT,5,WA,0,8762,12971,0,20285,1122,326,21270,396,67,1738000,124
NSW178,GOULBURN MULWAREE COUNCIL,1,NSW,11054,0,960,0,10715,838,461,11648,223,143,2912000,80
NSW183,GLEN INNES SEVERN SHIRE COUNCIL,1,NSW,0,0,3698,0,3504,143,51,3584,114,0,225000,307
NSW184,PORT MACQUARIE-HASTINGS COUNCIL,1,NSW,36196,0,4395,0,35755,3167,1669,38401,662,1528,10795000,28
QLD313,MARANOA REGIONAL,3,QLD,3893,0,0,2527,3369,343,181,3370,123,400,1904000,112
QLD319,NOOSA SHIRE,3,QLD,0,0,34405,48,28808,3622,1975,29481,3200,1724,12812000,24
TAS88,BURNIE CITY COUNCIL,6,TAS,0,0,9291,0,9287,4,0,9286,1,4,2000,467
VIC158,FALLS CREEK ALPINE RESORT (UNINCORPORATED),2,VIC,0,0,575,0,575,0,0,575,0,0,0,497
VIC167,BOROONDARA CITY,2,VIC,0,0,77766,0,77687,49,30,77702,27,37,240000,298
VIC91,GREATER DANDENONG CITY,2,VIC,0,0,61984,0,61807,154,23,61877,46,61,97000,360
WA295,SHIRE OF WOODANILLING,5,WA,0,0,0,393,0,0,0,0,0,0,1000,480
WA314,CITY OF BAYSWATER,5,WA,0,16878,19039,0,34668,1157,92,35797,84,36,898000,187
WA326,SHIRE OF NANNUP,5,WA,541,0,16,65,434,66,57,434,66,57,172000,326
WA363,SHIRE OF KALAMUNDA,5,WA,0,0,24837,0,24761,63,13,24748,25,64,89000,364
WA379,SHIRE OF KENT,5,WA,0,0,74,95,74,0,0,74,0,0,0,497
WA382,CITY OF KALGOORLIE-BOULDER,5,WA,0,0,0,13774,0,0,0,0,0,0,0,497
WA424,CITY OF BUSSELTON,5,WA,6,0,20680,22,19598,484,604,19538,450,698,3248000,74
NSW197,KYOGLE COUNCIL,1,NSW,1597,0,1405,0,2534,185,283,2704,69,229,3848000,62
NSW201,NARRANDERA SHIRE COUNCIL,1,NSW,2943,0,16,539,2878,7,74,2875,84,0,144000,341
NSW209,LIVERPOOL PLAINS SHIRE COUNCIL,1,NSW,1627,0,2220,0,3347,179,321,3465,198,184,2364000,98
NSW214,CARRATHOOL SHIRE COUNCIL,1,NSW,0,0,0,1430,0,0,0,0,0,0,192000,315
NSW228,BEGA VALLEY SHIRE COUNCIL,1,NSW,0,0,16124,2530,15387,382,355,15768,356,0,1809000,121
NSW243,MURRUMBIDGEE SHIRE COUNCIL,1,NSW,595,0,1,562,242,0,354,573,10,13,772000,201
NSW268,BURWOOD COUNCIL,1,NSW,24,0,13301,864,13319,6,0,13325,0,0,286000,282
NSW279,TENTERFIELD SHIRE COUNCIL,1,NSW,0,0,2654,0,2530,97,27,2625,29,0,110000,351
NSW284,NARRABRI SHIRE COUNCIL,1,NSW,2976,1128,1001,610,1051,535,3519,1361,2532,1212,15853000,20
NT65,MACDONNELL SHIRE,7,NT,0,0,0,993,0,0,0,0,0,0,57000,386
NT73,ROPER GULF SHIRE,7,NT,307,0,0,506,175,0,132,175,91,41,484000,238
NT76,UN-INCORPORATED (NHULUNBUY) AREA,7,NT,0,0,0,1350,0,0,0,0,0,0,68000,378
QLD293,SOUTH BURNETT REGIONAL,3,QLD,0,0,15817,2824,14309,1421,87,14310,1418,89,1369000,139
QLD317,LIVINGSTONE SHIRE,3,QLD,467,1481,0,14483,1887,50,11,1929,8,11,929000,182
SA109,THE BAROSSA COUNCIL,4,SA,0,0,356,10005,348,3,5,347,1,8,425000,247
SA87,THE DC OF TUMBY BAY,4,SA,0,0,0,1611,0,0,0,0,0,0,25000,421
VIC118,WANGARATTA RURAL CITY,2,VIC,99,8836,2895,0,10711,858,261,11436,347,47,778000,200
WA292,SHIRE OF DONNYBROOK-BALINGUP,5,WA,0,0,1040,1455,603,302,135,603,302,135,608000,225
WA328,SHIRE OF VICTORIA PLAINS,5,WA,0,0,196,270,193,1,2,193,0,3,31000,416
WA340,SHIRE OF DARDANUP,5,WA,2744,0,119,2126,2762,100,1,2762,100,1,157000,332
WA410,SHIRE OF LAKE GRACE,5,WA,0,0,621,0,621,0,0,621,0,0,0,497
WA426,CITY OF KARRATHA,5,WA,0,0,0,9244,0,0,0,0,0,0,4000,456
NSW191,YASS VALLEY COUNCIL,1,NSW,0,0,5440,0,5368,30,42,5395,45,0,168000,327
NSW208,COOLAMON SHIRE COUNCIL,1,NSW,0,0,1394,1149,1384,7,3,1382,12,0,30000,417
NSW216,RANDWICK CITY COUNCIL,1,NSW,0,0,67121,47,64886,1438,797,65679,1442,0,3367000,73
NSW225,HARDEN SHIRE COUNCIL,1,NSW,0,0,1507,0,1464,31,12,1489,18,0,37000,407
NSW265,FORBES SHIRE COUNCIL,1,NSW,2738,0,1244,0,3586,196,200,3611,313,58,787000,198
NSW286,GREATER TAREE CITY COUNCIL,1,NSW,12732,0,9283,0,18018,2274,1723,20260,463,1292,9424000,32
